"Name" "Cho_Oyu" "Everest" "Kangchenjunga" "Kangchenjunga_Central" "Kangchenjunga_South" "Lhotse" "Lhotse_Middle" "Lhotse_Shar" "Makalu" "Yalung Kang"
"Cho_Oyu" 1 0 1 0 1 1 0 0 0 1
"Everest" 0 1 1 0 1 1 0 1 0 1
"Kangchenjunga" 0 0 1 0 0 0 0 0 0 0
"Kangchenjunga_Central" 0 0 1 1 1 0 0 0 0 0
"Kangchenjunga_South" 0 0 1 1 0 0 0 0 0 0
"Lhotse" 0 0 0.17037 0 0 1 0 0 0 0
"Lhotse_Middle" 0 1 1 0 1 1 1 0 0 1 
"Lhotse_Shar" 0 1 1 0 1 1 0 1 0 0
"Makalu" 0 0 1 0 0 0 0 0 1 0
"Yalung Kang" 0 0 1 0 1 0 0 0 0 1 
